,start_station_name,end_station_name,Number of Trips
18693,Ellis Ave & 60th St,Ellis Ave & 58th St,38
49037,Wells St & Concord Ln,DuSable Lake Shore Dr & North Blvd,38
11361,Clark St & Winnemac Ave,Clark St & Winnemac Ave,38
24261,Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,38
46588,Streeter Dr & Grand Ave,State St & Randolph St,38
765,Adler Planetarium,Michigan Ave & 8th St,38
51450,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,38
13027,Columbus Dr & Randolph St,Streeter Dr & Grand Ave,38
46488,Streeter Dr & Grand Ave,Lakeview Ave & Fullerton Pkwy,38
33711,Millennium Park,Wentworth Ave & Cermak Rd,37
51498,Wilton Ave & Belmont Ave,Broadway & Cornelia Ave,37
9855,Clark St & Lake St,Streeter Dr & Grand Ave,37
10099,Clark St & Lincoln Ave,Lakeview Ave & Fullerton Pkwy,37
47230,University Library (NU),Sheridan Rd & Noyes St (NU),37
18361,Eckhart Park,Eckhart Park,37
33407,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,37
30010,Lincoln Park Conservatory,DuSable Lake Shore Dr & North Blvd,37
17923,DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Diversey Pkwy,37
43020,Shore Dr & 55th St,Ellis Ave & 55th St,37
26798,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,37
401,Aberdeen St & Randolph St,Aberdeen St & Randolph St,37
33557,Millennium Park,DuSable Lake Shore Dr & North Blvd,37
23336,Halsted St & Wrightwood Ave,Clark St & Newport St,37
30059,Lincoln Park Conservatory,Michigan Ave & Oak St,37
41660,Sheffield Ave & Waveland Ave,Sheridan Rd & Irving Park Rd,37
48047,Wabash Ave & Grand Ave,Michigan Ave & Oak St,37
47190,University Ave & 57th St,Lake Park Ave & 53rd St,37
9359,Clark St & Elm St,Wells St & Concord Ln,37
49172,Wells St & Concord Ln,Wells St & Elm St,37
37748,Pine Grove Ave & Waveland Ave,Theater on the Lake,37
45408,State St & Kinzie St,State St & Kinzie St,37
48809,Warren Park West,Warren Park West,36
31143,McClurg Ct & Erie St,Streeter Dr & Grand Ave,36
32579,Michigan Ave & Oak St,Dusable Harbor,36
27941,Larrabee St & Webster Ave,Clark St & Armitage Ave,36
46482,Streeter Dr & Grand Ave,LaSalle St & Illinois St,36
47221,University Library (NU),Chicago Ave & Sheridan Rd,36
8762,Clark St & Chicago Ave,Clark St & Chicago Ave,36
33560,Millennium Park,Dusable Harbor,36
46808,Theater on the Lake,Lakeview Ave & Fullerton Pkwy,36
17771,DuSable Lake Shore Dr & North Blvd,Millennium Park,36
32262,Michigan Ave & Lake St,Michigan Ave & Washington St,36
8513,Clark St & Armitage Ave,Stockton Dr & Wrightwood Ave,35
38323,Racine Ave & Belmont Ave,Racine Ave & Fullerton Ave,35
3881,Broadway & Ridge Ave,Broadway & Ridge Ave,35
3083,Broadway & Argyle St,Broadway & Argyle St,35
27013,Lakeview Ave & Fullerton Pkwy,DuSable Lake Shore Dr & North Blvd,35
46389,Streeter Dr & Grand Ave,Cannon Dr & Fullerton Ave,35
23769,Honore St & Division St,Honore St & Division St,35
42728,Sheridan Rd & Lawrence Ave,Sheridan Rd & Lawrence Ave,35
34404,Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,35
32492,Michigan Ave & Oak St,Adler Planetarium,35
32538,Michigan Ave & Oak St,Clark St & Armitage Ave,35
51663,Wilton Ave & Belmont Ave,Southport Ave & Roscoe St,35
32201,Michigan Ave & Lake St,DuSable Lake Shore Dr & Monroe St,35
17838,DuSable Lake Shore Dr & North Blvd,Stockton Dr & Wrightwood Ave,35
1326,Ashland Ave & Blackhawk St,Ashland Ave & Blackhawk St,35
32029,Michigan Ave & Jackson Blvd,DuSable Lake Shore Dr & Monroe St,34
17978,DuSable Lake Shore Dr & Wellington Ave,Montrose Harbor,34
5452,California Ave & Milwaukee Ave,California Ave & Milwaukee Ave,34
41213,Sheffield Ave & Fullerton Ave,DuSable Lake Shore Dr & North Blvd,34
26641,Lake Park Ave & 53rd St,Shore Dr & 55th St,34
17588,DuSable Lake Shore Dr & Monroe St,Wabash Ave & Wacker Pl,34
17810,DuSable Lake Shore Dr & North Blvd,Sheffield Ave & Fullerton Ave,34
5770,Calumet Ave & 18th St,DuSable Lake Shore Dr & Monroe St,34
17534,DuSable Lake Shore Dr & Monroe St,New St & Illinois St,34
23374,Halsted St & Wrightwood Ave,Halsted St & Wrightwood Ave,34
724,Adler Planetarium,Field Museum,34
48282,Wabash Ave & Roosevelt Rd,Shedd Aquarium,34
10064,Clark St & Lincoln Ave,DuSable Lake Shore Dr & North Blvd,34
36269,Ogden Ave & Race Ave,Ogden Ave & Race Ave,34
35593,New St & Illinois St,DuSable Lake Shore Dr & Monroe St,34
3346,Broadway & Barry Ave,Theater on the Lake,34
11482,Clark St & Wrightwood Ave,Clark St & Armitage Ave,34
3221,Broadway & Barry Ave,Clark St & Newport St,34
42509,Sheridan Rd & Greenleaf Ave,Sheridan Rd & Greenleaf Ave,34
46550,Streeter Dr & Grand Ave,Rush St & Hubbard St,34
18620,Ellis Ave & 55th St,Lake Park Ave & 53rd St,34
49160,Wells St & Concord Ln,Stockton Dr & Wrightwood Ave,34
47900,Wabash Ave & Cermak Rd,Wabash Ave & Cermak Rd,34
11491,Clark St & Wrightwood Ave,Clark St & Newport St,33
46224,Stockton Dr & Wrightwood Ave,Michigan Ave & Oak St,33
4788,Burnham Harbor,Fort Dearborn Dr & 31st St,33
22725,Halsted St & Maxwell St,Halsted St & Maxwell St,33
31544,Michigan Ave & 14th St,Millennium Park,33
24208,Indiana Ave & Roosevelt Rd,Dusable Harbor,33
8364,Clark St & Armitage Ave,Clark St & Newport St,33
46523,Streeter Dr & Grand Ave,Montrose Harbor,33
2893,Blackstone Ave & Hyde Park Blvd,Blackstone Ave & Hyde Park Blvd,33
33570,Millennium Park,Field Museum,33
27116,Lakeview Ave & Fullerton Pkwy,Theater on the Lake,33
25508,Kingsbury St & Kinzie St,Kingsbury St & Kinzie St,33
41098,Shedd Aquarium,Michigan Ave & Washington St,33
45044,State St & Chicago Ave,Larrabee St & Kingsbury St,33
40468,Sedgwick St & North Ave,Clark St & Armitage Ave,33
39753,Rush St & Cedar St,Wells St & Concord Ln,33
11642,Clark St & Wrightwood Ave,Wells St & Concord Ln,33
15754,Dearborn St & Adams St,Dearborn St & Adams St,33
19794,Field Museum,Michigan Ave & Jackson Blvd,33
50739,Western Ave & Division St,Ashland Ave & Division St,33
9469,Clark St & Grace St,Clark St & Grace St,33
49292,Wells St & Elm St,LaSalle St & Illinois St,33
10522,Clark St & Newport St,Southport Ave & Roscoe St,33
32666,Michigan Ave & Oak St,New St & Illinois St,33
27978,Larrabee St & Webster Ave,DuSable Lake Shore Dr & North Blvd,33
18707,Ellis Ave & 60th St,Shore Dr & 55th St,33
49219,Wells St & Elm St,Clark St & Lincoln Ave,33
8369,Clark St & Armitage Ave,Clark St & Wrightwood Ave,32
46586,Streeter Dr & Grand Ave,State St & Kinzie St,32
32265,Michigan Ave & Lake St,Millennium Park,32
3552,Broadway & Berwyn Ave,Clark St & Berwyn Ave,32
48052,Wabash Ave & Grand Ave,Millennium Park,32
27538,Larrabee St & Kingsbury St,Larrabee St & Kingsbury St,32
31,63rd St Beach,63rd St Beach,32
26937,Lakefront Trail & Wilson Ave,Streeter Dr & Grand Ave,32
43032,Shore Dr & 55th St,Kimbark Ave & 53rd St,32
8390,Clark St & Armitage Ave,DuSable Lake Shore Dr & North Blvd,32
49256,Wells St & Elm St,DuSable Lake Shore Dr & North Blvd,32
17139,DuSable Lake Shore Dr & Belmont Ave,Montrose Harbor,32
14757,Damen Ave & Pierce Ave,Damen Ave & Chicago Ave,32
32295,Michigan Ave & Lake St,St. Clair St & Erie St,32
46872,Theater on the Lake,Sheffield Ave & Wrightwood Ave,32
10086,Clark St & Lincoln Ave,Halsted St & Wrightwood Ave,32
18141,Dusable Harbor,Indiana Ave & Roosevelt Rd,32
10958,Clark St & Schiller St,DuSable Lake Shore Dr & North Blvd,32
34612,Morgan St & 18th St,Morgan St & 18th St,32
49070,Wells St & Concord Ln,Lakeview Ave & Fullerton Pkwy,32
42644,Sheridan Rd & Irving Park Rd,Southport Ave & Waveland Ave,32
12534,Clinton St & Roosevelt Rd,Wabash Ave & Roosevelt Rd,32
17349,DuSable Lake Shore Dr & Diversey Pkwy,Sheffield Ave & Waveland Ave,32
33627,Millennium Park,Michigan Ave & Oak St,32
31259,McClurg Ct & Ohio St,McClurg Ct & Erie St,32
49872,Wells St & Huron St,Clark St & Elm St,32
49035,Wells St & Concord Ln,DuSable Lake Shore Dr & Diversey Pkwy,32
51883,Winchester (Ravenswood) Ave & Balmoral Ave,Winchester (Ravenswood) Ave & Balmoral Ave,32
41038,Shedd Aquarium,DuSable Lake Shore Dr & North Blvd,32
23335,Halsted St & Wrightwood Ave,Clark St & Lincoln Ave,32
17465,DuSable Lake Shore Dr & Monroe St,Fairbanks Ct & Grand Ave,32
49830,Wells St & Hubbard St,Wells St & Elm St,32
18660,Ellis Ave & 58th St,Ellis Ave & 60th St,31
42248,Sheffield Ave & Wrightwood Ave,Larrabee St & Webster Ave,31
34433,Montrose Harbor,Pine Grove Ave & Irving Park Rd,31
46180,Stockton Dr & Wrightwood Ave,DuSable Lake Shore Dr & Diversey Pkwy,31
8978,Clark St & Drummond Pl,Clark St & Newport St,31
46102,Stetson Ave & South Water St,Streeter Dr & Grand Ave,31
3244,Broadway & Barry Ave,DuSable Lake Shore Dr & Wellington Ave,31
41916,Sheffield Ave & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,31
3420,Broadway & Belmont Ave,DuSable Lake Shore Dr & North Blvd,31
32261,Michigan Ave & Lake St,Michigan Ave & Pearson St,31
20816,Franklin St & Lake St,Franklin St & Lake St,31
39688,Rush St & Cedar St,Michigan Ave & Oak St,31
51523,Wilton Ave & Belmont Ave,Clark St & Drummond Pl,31
8524,Clark St & Armitage Ave,Wells St & Concord Ln,31
46163,Stockton Dr & Wrightwood Ave,Clark St & Lincoln Ave,31
46368,Streeter Dr & Grand Ave,Broadway & Belmont Ave,31
31762,Michigan Ave & 8th St,Dusable Harbor,31
35522,Narragansett & Wrightwood,Narragansett & Wrightwood,31
44131,Southport Ave & Wellington Ave,Southport Ave & Wellington Ave,31
41663,Sheffield Ave & Waveland Ave,Sheridan Rd & Montrose Ave,31
23471,Halsted St & Wrightwood Ave,Wells St & Concord Ln,31
4176,Broadway & Waveland Ave,Broadway & Barry Ave,31
17809,DuSable Lake Shore Dr & North Blvd,Shedd Aquarium,31
41105,Shedd Aquarium,Museum of Science and Industry,31
18665,Ellis Ave & 58th St,Kimbark Ave & 53rd St,30
42541,Sheridan Rd & Irving Park Rd,Clarendon Ave & Gordon Ter,30
9169,Clark St & Elm St,Clark St & Armitage Ave,30
46268,Stockton Dr & Wrightwood Ave,Theater on the Lake,30
33447,Mies van der Rohe Way & Chicago Ave,Streeter Dr & Grand Ave,30
10372,Clark St & Newport St,Clark St & Drummond Pl,30
47801,Wabash Ave & Adams St,Streeter Dr & Grand Ave,30
13571,Damen Ave & Charleston St,Damen Ave & Charleston St,30
31801,Michigan Ave & 8th St,McCormick Place,30
20410,Franklin St & Chicago Ave,Wells St & Elm St,30
8525,Clark St & Armitage Ave,Wells St & Elm St,30
10063,Clark St & Lincoln Ave,DuSable Lake Shore Dr & Monroe St,30
47166,University Ave & 57th St,Cornell Ave & Hyde Park Blvd,30
35246,Museum of Science and Industry,Shore Dr & 55th St,30
26647,Lake Park Ave & 53rd St,University Ave & 57th St,30
2942,Blackstone Ave & Hyde Park Blvd,University Ave & 57th St,30
42886,Sheridan Rd & Montrose Ave,Sheffield Ave & Waveland Ave,30
46592,Streeter Dr & Grand Ave,Stockton Dr & Wrightwood Ave,30
9472,Clark St & Grace St,Clark St & Montrose Ave,30
29514,Lincoln Ave & Fullerton Ave,Wells St & Concord Ln,30
8719,Clark St & Bryn Mawr Ave,Ravenswood Ave & Lawrence Ave,30
33050,Michigan Ave & Washington St,Michigan Ave & 8th St,30
274,Aberdeen St & Monroe St,Aberdeen St & Monroe St,30
5477,California Ave & Milwaukee Ave,Damen Ave & Pierce Ave,30
31695,Michigan Ave & 18th St,Wabash Ave & Roosevelt Rd,30
33053,Michigan Ave & Washington St,Michigan Ave & Lake St,30
9178,Clark St & Elm St,Clark St & Lincoln Ave,30
10606,Clark St & North Ave,DuSable Lake Shore Dr & North Blvd,29
32529,Michigan Ave & Oak St,Cannon Dr & Fullerton Ave,29
10511,Clark St & Newport St,Sheffield Ave & Wrightwood Ave,29
25333,Kingsbury St & Erie St,Kingsbury St & Erie St,29
17699,DuSable Lake Shore Dr & North Blvd,Fairbanks Ct & Grand Ave,29
32082,Michigan Ave & Jackson Blvd,Michigan Ave & 8th St,29
52700,Wood St & Milwaukee Ave,Wood St & Milwaukee Ave,29
17263,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Wellington Ave,29
46157,Stockton Dr & Wrightwood Ave,Clark St & Armitage Ave,29
29412,Lincoln Ave & Fullerton Ave,Halsted St & Roscoe St,29
12949,Columbus Dr & Randolph St,DuSable Lake Shore Dr & Monroe St,29
13014,Columbus Dr & Randolph St,Shedd Aquarium,29
40997,Shedd Aquarium,Buckingham Fountain,29
33623,Millennium Park,Michigan Ave & Ida B Wells Dr,29
40850,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,29
19317,Fairbanks St & Superior St,Fairbanks St & Superior St,29
21093,Glenwood Ave & Touhy Ave,Clark St & Touhy Ave,29
35196,Museum of Science and Industry,DuSable Lake Shore Dr & Monroe St,29
2555,Benson Ave & Church St,Sheridan Rd & Noyes St (NU),29
27064,Lakeview Ave & Fullerton Pkwy,Michigan Ave & Oak St,29
16243,Dearborn St & Van Buren St,Dearborn St & Van Buren St,29
8534,Clark St & Armitage Ave,Wilton Ave & Belmont Ave,29
19609,Field Blvd & South Water St,DuSable Lake Shore Dr & Monroe St,29
47137,Troy St & North Ave,Troy St & North Ave,29
12653,Clinton St & Washington Blvd,Clinton St & Washington Blvd,29
31759,Michigan Ave & 8th St,DuSable Lake Shore Dr & Monroe St,29
17471,DuSable Lake Shore Dr & Monroe St,Fort Dearborn Dr & 31st St,29
11540,Clark St & Wrightwood Ave,Halsted St & Dickens Ave,29
3321,Broadway & Barry Ave,Sheffield Ave & Waveland Ave,29
11195,Clark St & Wellington Ave,Clark St & Newport St,29
5166,California Ave & Division St,California Ave & Division St,29
32639,Michigan Ave & Oak St,Lincoln Park Conservatory,29
42914,Sheridan Rd & Noyes St (NU),Benson Ave & Church St,29
32723,Michigan Ave & Oak St,Stockton Dr & Wrightwood Ave,29
16793,Desplaines St & Randolph St,Desplaines St & Randolph St,29
46379,Streeter Dr & Grand Ave,Burnham Harbor,29
5499,California Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,29
41161,Sheffield Ave & Fullerton Ave,Ashland Ave & Wrightwood Ave,29
32992,Michigan Ave & Washington St,Dusable Harbor,29
46400,Streeter Dr & Grand Ave,Clark St & Elm St,29
42467,Sheridan Rd & Columbia Ave,Sheridan Rd & Columbia Ave,29
42630,Sheridan Rd & Irving Park Rd,Sheffield Ave & Waveland Ave,29
41094,Shedd Aquarium,Michigan Ave & Lake St,29
44660,St. Louis Ave & Balmoral Ave,St. Louis Ave & Balmoral Ave,29
32260,Michigan Ave & Lake St,Michigan Ave & Oak St,28
38322,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,28
16625,Desplaines St & Kinzie St,Desplaines St & Kinzie St,28
29292,Lincoln Ave & Diversey Pkwy,Racine Ave & Fullerton Ave,28
17684,DuSable Lake Shore Dr & North Blvd,Dearborn St & Erie St,28
3197,Broadway & Barry Ave,Broadway & Waveland Ave,28
4118,Broadway & Thorndale Ave,Clark St & Winnemac Ave,28
37662,Pine Grove Ave & Waveland Ave,DuSable Lake Shore Dr & North Blvd,28
49829,Wells St & Hubbard St,Wells St & Concord Ln,28
10706,Clark St & North Ave,Streeter Dr & Grand Ave,28
22396,Halsted St & Clybourn Ave,Halsted St & Clybourn Ave,28
43501,Southport Ave & Clybourn Ave,Southport Ave & Clybourn Ave,28
37746,Pine Grove Ave & Waveland Ave,Streeter Dr & Grand Ave,28
17106,DuSable Lake Shore Dr & Belmont Ave,Lakefront Trail & Bryn Mawr Ave,28
51576,Wilton Ave & Belmont Ave,Halsted St & Wrightwood Ave,28
17261,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Monroe St,28
47980,Wabash Ave & Grand Ave,DuSable Lake Shore Dr & North Blvd,28
32990,Michigan Ave & Washington St,DuSable Lake Shore Dr & Monroe St,28
51558,Wilton Ave & Belmont Ave,DuSable Lake Shore Dr & Diversey Pkwy,28
18608,Ellis Ave & 55th St,Ellis Ave & 55th St,28
33626,Millennium Park,Michigan Ave & Madison St,28
25244,Kimbark Ave & 53rd St,Shore Dr & 55th St,28
8565,Clark St & Berwyn Ave,Clark St & Berwyn Ave,28
9088,Clark St & Drummond Pl,Sheffield Ave & Fullerton Ave,28
49060,Wells St & Concord Ln,Halsted St & Wrightwood Ave,28
18711,Ellis Ave & 60th St,Woodlawn Ave & 55th St,28
18169,Dusable Harbor,Michigan Ave & 8th St,28
1911,Ashland Ave & Grand Ave,Ashland Ave & Grand Ave,28
49088,Wells St & Concord Ln,Lincoln Park Conservatory,28
8436,Clark St & Armitage Ave,Larrabee St & Webster Ave,28
17722,DuSable Lake Shore Dr & North Blvd,Indiana Ave & Roosevelt Rd,28
51496,Wilton Ave & Belmont Ave,Broadway & Barry Ave,28
34333,Montrose Harbor,Broadway & Cornelia Ave,28
41900,Sheffield Ave & Wellington Ave,Clark St & Wrightwood Ave,27
39429,Ritchie Ct & Banks St,Streeter Dr & Grand Ave,27
41194,Sheffield Ave & Fullerton Ave,Clark St & Wrightwood Ave,27
26126,LaSalle St & Illinois St,New St & Illinois St,27
15400,Dayton St & North Ave,Cherry Ave & Blackhawk St,27
3344,Broadway & Barry Ave,Streeter Dr & Grand Ave,27
48190,Wabash Ave & Roosevelt Rd,DuSable Lake Shore Dr & Monroe St,27
46824,Theater on the Lake,Lincoln Park Conservatory,27
17468,DuSable Lake Shore Dr & Monroe St,Field Blvd & South Water St,27
17459,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Wellington Ave,27
17408,DuSable Lake Shore Dr & Monroe St,Calumet Ave & 18th St,27
3243,Broadway & Barry Ave,DuSable Lake Shore Dr & North Blvd,27
45680,State St & Randolph St,Millennium Park,27
30363,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,27
46514,Streeter Dr & Grand Ave,Michigan Ave & Madison St,27
46062,Stetson Ave & South Water St,Michigan Ave & Lake St,27
46561,Streeter Dr & Grand Ave,Sheffield Ave & Waveland Ave,27
46615,Streeter Dr & Grand Ave,Wentworth Ave & Cermak Rd,27
46714,Theater on the Lake,Broadway & Cornelia Ave,27
17733,DuSable Lake Shore Dr & North Blvd,Lakeview Ave & Fullerton Pkwy,27
26828,Lakefront Trail & Bryn Mawr Ave,Theater on the Lake,27
28107,Larrabee St & Webster Ave,Wells St & Evergreen Ave,27
46854,Theater on the Lake,Racine Ave & Fullerton Ave,27
48784,Warren Park East,Warren Park East,27
20158,Franklin St & Adams St (Temp),Franklin St & Adams St (Temp),27
9007,Clark St & Drummond Pl,DuSable Lake Shore Dr & North Blvd,27
24262,Indiana Ave & Roosevelt Rd,Michigan Ave & Lake St,27
9907,Clark St & Leland Ave,Clark St & Leland Ave,27
10509,Clark St & Newport St,Sheffield Ave & Wellington Ave,27
23162,Halsted St & Roscoe St,Wilton Ave & Belmont Ave,27
33628,Millennium Park,Michigan Ave & Pearson St,27
10019,Clark St & Lincoln Ave,Clark St & Armitage Ave,27
35621,New St & Illinois St,Indiana Ave & Roosevelt Rd,27
32471,Michigan Ave & Madison St,Streeter Dr & Grand Ave,27
37598,Pine Grove Ave & Irving Park Rd,Theater on the Lake,27
19530,Federal St & Polk St,Shedd Aquarium,27
42325,Sheffield Ave & Wrightwood Ave,Wells St & Concord Ln,27
19958,Fort Dearborn Dr & 31st St,Burnham Harbor,27
44576,St. Clair St & Erie St,Michigan Ave & Oak St,27
8358,Clark St & Armitage Ave,Clark St & Drummond Pl,27
34384,Montrose Harbor,DuSable Lake Shore Dr & North Blvd,27
32608,Michigan Ave & Oak St,Indiana Ave & Roosevelt Rd,27
19774,Field Museum,Indiana Ave & Roosevelt Rd,27
4426,Buckingham Fountain,Adler Planetarium,27
35628,New St & Illinois St,LaSalle St & Illinois St,27
18074,Dusable Harbor,Buckingham Fountain,27
51749,Wilton Ave & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,27
33017,Michigan Ave & Washington St,Indiana Ave & Roosevelt Rd,27
5063,California Ave & Cortez St,California Ave & Milwaukee Ave,27
33242,Mies van der Rohe Way & Chestnut St,Millennium Park,27
30892,May St & Cullerton St,May St & Cullerton St,26
15936,Dearborn St & Erie St,LaSalle St & Jackson Blvd,26
47198,University Ave & 57th St,Museum of Science and Industry,26
1790,Ashland Ave & Division St,Western Ave & Division St,26
772,Adler Planetarium,Michigan Ave & Washington St,26
32434,Michigan Ave & Madison St,Millennium Park,26
31217,McClurg Ct & Ohio St,Fairbanks Ct & Grand Ave,26
46549,Streeter Dr & Grand Ave,Rush St & Cedar St,26
19564,Field Blvd & South Water St,Adler Planetarium,26
32513,Michigan Ave & Oak St,Buckingham Fountain,26
50305,Wells St & Walton St,Wells St & Huron St,26
23950,Humboldt Blvd & Armitage Ave,California Ave & Milwaukee Ave,26
46891,Theater on the Lake,Stockton Dr & Wrightwood Ave,26
26033,LaSalle St & Illinois St,Dearborn Pkwy & Delaware Pl,26
7562,Chicago Ave & Sheridan Rd,University Library (NU),26
46609,Streeter Dr & Grand Ave,Wells St & Evergreen Ave,26
32991,Michigan Ave & Washington St,DuSable Lake Shore Dr & North Blvd,26
17066,DuSable Lake Shore Dr & Belmont Ave,Clark St & Newport St,26
34383,Montrose Harbor,DuSable Lake Shore Dr & Monroe St,26
17524,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Washington St,26
