,start_station_name,end_station_name,Number of Trips
9617,Clark St & Ida B Wells Dr,Financial Pl & Ida B Wells Dr,2
48698,Walsh Park,Damen Ave & Division St,2
48696,Walsh Park,Damen Ave & Chicago Ave,2
48690,Walsh Park,Clark St & Wellington Ave,2
48688,Walsh Park,Clark St & Newport St,2
9636,Clark St & Ida B Wells Dr,May St & Taylor St,2
9638,Clark St & Ida B Wells Dr,Michigan Ave & 8th St,2
48683,Walsh Park,Central Park Ave & Elbridge Ave,2
9643,Clark St & Ida B Wells Dr,Michigan Ave & Washington St,2
9600,Clark St & Ida B Wells Dr,Clark St & Lake St,2
9646,Clark St & Ida B Wells Dr,Museum of Science and Industry,2
48678,Walsh Park,California Ave & Francis Pl (Temp),2
9659,Clark St & Ida B Wells Dr,State St & Harrison St,2
9664,Clark St & Ida B Wells Dr,Wabash Ave & 9th St,2
48668,Walsh Park,Ashland Ave & Chicago Ave,2
9673,Clark St & Ida B Wells Dr,Wentworth Ave & Cermak Rd,2
9674,Clark St & Jarvis Ave,Central St Metra,2
9676,Clark St & Jarvis Ave,Clark St & Columbia Ave,2
9681,Clark St & Jarvis Ave,Drake Ave & Montrose Ave,2
9688,Clark St & Jarvis Ave,Ridge Blvd & Touhy Ave,2
48657,Wallace St & 35th St,Wabash Ave & Cermak Rd,2
9690,Clark St & Jarvis Ave,Western Ave & Granville Ave,2
9695,Clark St & Lake St,Aberdeen St & Jackson Blvd,2
48705,Walsh Park,DuSable Lake Shore Dr & North Blvd,2
4323,Broadway & Wilson - Truman College Vaccination Site,Ashland Ave & Belle Plaine Ave,2
9701,Clark St & Lake St,Ashland Ave & Augusta Blvd,2
9535,Clark St & Grace St,Milwaukee Ave & Grand Ave,2
48738,Walsh Park,Orleans St & Elm St,2
48736,Walsh Park,Noble St & Milwaukee Ave,2
9501,Clark St & Grace St,Honore St & Division St,2
9505,Clark St & Grace St,Kedzie Ave & Leland Ave,2
9508,Clark St & Grace St,LaSalle Dr & Huron St,2
48731,Walsh Park,Michigan Ave & 8th St,2
9511,Clark St & Grace St,Lakefront Trail & Bryn Mawr Ave,2
48729,Walsh Park,Lincoln Park Conservatory,2
9515,Clark St & Grace St,Leavitt St & Addison St,2
4336,Broadway & Wilson - Truman College Vaccination Site,Burling St & Diversey Pkwy,2
9521,Clark St & Grace St,Lincoln Ave & Diversey Pkwy,2
9524,Clark St & Grace St,Lincoln Ave & Roscoe St*,2
48728,Walsh Park,Lincoln Ave & Fullerton Ave,2
48723,Walsh Park,Larrabee St & North Ave,2
9590,Clark St & Grace St,Wood St & Milwaukee Ave,2
48722,Walsh Park,Larrabee St & Kingsbury St,2
4330,Broadway & Wilson - Truman College Vaccination Site,Broadway & Granville Ave,2
4329,Broadway & Wilson - Truman College Vaccination Site,Broadway & Cornelia Ave,2
9553,Clark St & Grace St,Sedgwick St & Webster Ave,2
9557,Clark St & Grace St,Sheffield Ave & Waveland Ave,2
9559,Clark St & Grace St,Sheffield Ave & Wrightwood Ave,2
